id,date,entity_id,vendor_name,description,amount,true_category,anomaly_type,tier
311c32b6-fa37-4a4e-909c-dd3fbfc07c01,2025-11-13,ent_002,Amazon,Amazon - fasteners,-1122.01,Materials & Supplies,,ambiguous
4928f0d7-15d2-45f9-a124-3e4074b9b613,2025-07-06,ent_003,Paychex Inc,Paychex Inc - biweekly payroll run,-11184.44,Payroll,,obvious
14202a44-b8e8-430e-90dc-86c1057f3c42,2025-07-04,ent_003,Square Payment,Square Payment - vendor payment via Square,-160.49,Cost of Goods Sold,,ambiguous
c2dafaa6-8482-4301-8d5f-c57e536c60f1,2025-07-02,ent_003,PSE&G,PSE&G - water & sewer,-1768.15,Utilities,,obvious
0f57f30c-3a92-454e-8b87-23bb0eee441e,2025-08-09,ent_002,GitHub,GitHub - annual license renewal,-423.01,Software & Subscriptions,,obvious
b6b7a8d1-6b4c-479c-9c55-99e4c4fe33f1,2025-08-01,ent_004,Hartford Insurance Group,Hartford Insurance Group - workers comp premium,-1502.76,Insurance,,obvious
576ec767-33b5-49c5-98c0-3945112152ab,2026-03-15,ent_004,Costco Wholesale,Costco Wholesale - bulk ingredients,-362.01,Cost of Goods Sold,,ambiguous
85f51021-5fa8-4259-96d1-b7654d7c261a,2026-01-29,ent_003,Ferguson Building Materials,Ferguson Building Materials - job site materials,-2394.2,Materials & Supplies,,obvious
81796b4f-e0ae-4f1a-b97b-d9bf5007e653,2026-01-19,ent_002,Google Ads,Google Ads - social media ads,-2273.09,Marketing,,obvious
bb7022a4-05e4-4b51-95f4-9803e3be636e,2025-12-14,ent_001,Enterprise Rent-A-Car,Enterprise Rent-A-Car - client visit - rideshare,-113.27,Travel,,obvious
331abb3e-e8c9-4d3b-84e3-1036f2ce07d4,2026-03-31,ent_001,Shell Gas Station,Shell Gas Station - fuel - delivery vehicle,-101.35,Repairs & Maintenance,,ambiguous
4a72448d-0601-49bd-a860-c324bd030d43,2025-09-17,ent_004,Square Payment,Square Payment - contractor invoice via Square [1 of 2 - possible split to avoid approval threshold],-2285.97,Subcontractor Payments,split_transaction,anomaly
421a807a-fcf0-468d-b23d-79258b48c0c2,2025-11-07,ent_001,Shell Gas Station,Shell Gas Station - fuel - business trip,-49.94,Travel,,ambiguous
af7bd75a-e5c0-4a4d-86ba-3af255ad2cc0,2025-08-21,ent_003,84 Lumber,84 Lumber - building supply restock,-1172.89,Materials & Supplies,,obvious
7b8d9c99-7949-4188-a44b-c07d8e996c15,2026-04-28,ent_002,Square Payment,Square Payment - vendor payment via Square,-451.77,Cost of Goods Sold,,ambiguous
4e7e7abc-e848-4793-ba63-11b549c5e803,2026-04-21,ent_003,Costco Wholesale,Costco Wholesale - cleaning supplies,-45.23,Office Supplies,,ambiguous
85ff6a29-9aa7-4c5f-94fa-c21c44c8bdf7,2025-12-21,ent_004,Wire Transfer Fee - JPM,Wire Transfer Fee - JPM - monthly account fee,-85.13,Bank Fees,,obvious
b7840a05-bd79-42a2-a2e0-490c9049e65b,2026-03-17,ent_004,Hartford Insurance Group,Hartford Insurance Group - quarterly liability premium,-860.81,Insurance,,obvious
cac85322-9806-4f71-bb4c-cd1aa094affc,2025-10-11,ent_003,Enterprise Rent-A-Car,Enterprise Rent-A-Car - conference travel,-1367.39,Travel,,obvious
bd55abf1-2ee3-44b1-a261-9ca2b5c74283,2025-07-07,ent_003,Google Ads,Google Ads - local promo campaign,-1934.53,Marketing,,obvious
79de98b6-a478-41b3-8ada-eaad8d2f1764,2025-09-17,ent_003,PSE&G,PSE&G - water & sewer,-812.88,Utilities,,obvious
ecb90919-e8b6-4ca1-87cb-baaa20ade32e,2025-12-22,ent_001,Ferguson Building Materials,Ferguson Building Materials - building supply restock,-34.62,Materials & Supplies,,obvious
b3b39a04-7b99-4f7e-b4c4-cffe3ea67050,2026-04-17,ent_004,State Farm Commercial,State Farm Commercial - quarterly liability premium,-2412.76,Insurance,,obvious
15391743-f618-408e-9dcd-e0720a73fd5c,2026-04-11,ent_004,Ferguson Building Materials,Ferguson Building Materials - building supply restock,-563.92,Materials & Supplies,,obvious
9826e7a3-14a8-40c0-9f95-083d5bcbe585,2026-04-03,ent_004,ADP Payroll,ADP Payroll - biweekly payroll run,-4761.99,Payroll,,obvious
2176fafd-7793-4281-9c4b-98156bc3ceef,2025-10-13,ent_002,Yelp Ads,Yelp Ads - ad campaign spend,-1505.38,Marketing,,obvious
5446a893-fbec-4aae-a914-65ca452233f4,2025-07-13,ent_001,Meta Ads,Meta Ads - ad campaign spend,-2364.07,Marketing,,obvious
eb00f001-06ad-4e27-8f1e-fb79aba6c3e4,2025-12-30,ent_003,Home Depot,Home Depot - power tools,-537.83,Equipment,,ambiguous
21749fb0-b62e-4465-b2f6-9f500a78ea29,2025-11-18,ent_004,Wire Transfer Fee - JPM,Wire Transfer Fee - JPM - wire transfer fee,-1267.21,Bank Fees,,obvious
29e66d57-f050-4145-a2d3-28c0ab42165b,2025-11-27,ent_001,Downtown Realty Holdings,Downtown Realty Holdings - rent - storefront,-4373.42,Rent,,obvious
acf400c7-ce98-4b9a-b623-e554062723f7,2026-05-13,ent_002,Enterprise Rent-A-Car,Enterprise Rent-A-Car - business trip - flight,-2188.73,Travel,,obvious
28f1fa54-4ea7-44ec-82e8-6bf1cf59442e,2025-08-30,ent_002,Google Ads,Google Ads - ad campaign spend,-2043.15,Marketing,,obvious
b6b310d3-b247-4626-8ab7-45847ebd814d,2025-12-07,ent_002,Square Payment,Square Payment - vendor payment via Square,-577.39,Cost of Goods Sold,,ambiguous
c991265d-c129-4964-b6e1-ccfcdd879cee,2026-02-28,ent_001,Costco Wholesale,Costco Wholesale - staff lunch,-110.29,Meals & Entertainment,,ambiguous
5cd92580-948b-406b-a0eb-9cb23de6b1b6,2026-05-31,ent_003,Shell Gas Station,Shell Gas Station - fuel - business trip,-47.98,Travel,,ambiguous
